SAMPLE_ID,Answer
TEST_000,"2022년 혁신창업사업화자금(융자의 예산은 2,300백만원입니다."
TEST_001,중소벤처기업부의 혁신창업사업화자금(융자) 사업목적은 기술력과 사업성이 우수하고 미래 성장가능성이 높은 중소벤처기업의 창업을 활성화하고 고용창출을 도모하는 것입니다.
TEST_002,"중소벤처기업부의 혁신창업사업화자금(융자) 사업근거는 중소기업진흥에 관한 법률 제66조, 제67조, 제74조 및 중소기업창업지원법 제35조에 근거하고 있습니다."
TEST_003,2010년에 신규 지원된 혁신창업사업화자금은 '기술개발(스카우팅)' 및 '기술이전(스카우팅)' 입니다.
TEST_004,미래기술육성자금 및 고성장촉진자금 사업에서 미래기술육성자금(융자)과 고성장촉진자금(융자)이 신규 지원되었습니다.
TEST_005,2015년 1월입니다.
TEST_006,창업기반지원과 신청 대상이 중복인 일자리창출촉진자금은 2023년 1월에 폐지되었습니다.
TEST_007,혁신창업사업화자금(융자) 사업을 시행하는 주체는 창업진흥원이 있습니다.
TEST_008,혁신창업사업화자금(융자) 사업 집행절차는 다음과 같습니다:
TEST_009,"출산 및 양육으로 손실되는 소득을 보전하고, 주 양육자의 직접돌봄이 중요한 아동발달의 특성에 따라 영아기 돌봄을 두텁게 지원하기 위해 부모급여 지급"
TEST_010,"2024년 부모급여(영아수당)의 확정된 예산은 2,888,694백만원입니다."
TEST_011,｢아동수당법｣(제10조)과 ｢보건복지부처 재정운용에 관한 특별법｣(제15조)의2을 근거로 추진하고 있습니다.
TEST_012,"영아수당 도입의 추진경위는 예비타당성조사 통과(’21.8.), 근거법 마련(’21.12.), 영아수당 지원사업 시행(’22.1~), ‘부모급여 도입’ 대통령 공약사항 및 국정과제[*]에 포함(’22.5.)으로 이루어졌습니다."
TEST_013,"공약내용에 따라 0개월～12개월아이키우는부모에게월100만원지원이 이루어지고 있으며, 부모급여 지원사업은 ’23년 1월부터 시행되고 있다."
TEST_014,"보건복지부의 부모급여(영아수당) 지원 사업은 보조금 관리에 관한 법률 시행령 제4조 제1항 (별표 1)에 근거하여 시행되며, 사업 수혜자는 0~11개월 아동의 부모입니다."
TEST_015,노인장기요양보험 사업 운영의 목적은 노후의 건강증진 및 생활 안정을 도모하고 가족의 부담을 완화하여 국민 삶의 질을 향상시키는 것이다.
TEST_016,"노인장기요양보험 운영지원은 노인의 장기요양 비용을 부담자 부담률이 높은 기금 보험료로 지원하는 사업입니다. 이 사업은 노인의 장기요양 이용자에게 장기요양 급여를 지급하는 데 필요한 운영 활동을 담당하며, 국가 및 지방자치단체의 책무 등 다양한 행정적 또는 재정적 지원을 받습니다."
TEST_017,「국민기초생활 보장법」에 의한 의료급여수급권자를 제외한 기타* 의료급여수급권자입니다.
TEST_018,"노인장기요양보험법 제11조(장기요양보험가입자·피부양자의 자격취득·상실)에 관한 사항은 국민건강보험법 제5조, 제6조, 제8조부터 제11조까지, 제69조제1항부터 제3항까지, 제76조부터 제86조까지 및 제110조에 준용한다."
TEST_019,노인장기요양보험법은 '07년 4월에 제정되고 '08년 7월부터 제도가 시행되었습니다.
TEST_020,"노인장기요양보험 대상자 확대 (장기요양인정점수 완화)는 2013년 7월에 이루어졌으며, 3등급의 인정점수가 기존 55~75점에서 53점~75점으로 완화되었다."
TEST_021,"노인장기요양보험법 제4조, 제11조, 제35조의2, 제58조 및 같은 법 시행령제28조, 국민건강보험법 제76조가 법적 근거이다."
TEST_022,"22.10월에 요양보호사 1명당 시설수급자 인력배치기준이 개선되어, 2.5명에서 2.3명으로 감소하였다."
TEST_023,"에너지 바우처 제도는 하절기(7월~9월)와 동절기(11월~4월)에 해당하는 에너지 이용 비용을 지원하는 제도로, 2023년 예산은 바우처 사용(~'24.4월) 등 지원 완료 후 최종 정산 예정입니다."
TEST_024,사회보장위원회(총리 주재)에서 에너지바우처 사업 시행계획 확정(’15.8)
TEST_025,2024년 에너지바우처 사업의 사업시행주체는 산업통상자원부(에너지정보서비스단)입니다.
TEST_026,"하절기바우처의 2024년 예산 규모는 60,950백만원이며, 동절기바우처의 2024년 예산 규모는 600,521백만원입니다."
TEST_027,2023년 에너지바우처 사업 예산에서 사업운영비 중 에너지복지 홍보에 448백만원이 할당되었습니다.
TEST_028,2023년 에너지바우처 사업 예산에서 시스템 고도화에 705백만원이 할당되었습니다.
TEST_029,콜센터 운영 비용은 502.7백만원이 할당되었습니다.
TEST_030,2023년 에너지바우처 사업 예산에서 패널조사에 131.7백만원이 할당되었습니다.
TEST_031,전달체계 구축에 34.6백만원이 할당되었습니다.
TEST_032,50백만원입니다.
TEST_033,"에너지바우처 사업의 향후 기대효과는 에너지복지 사각지대를 해소하고, 에너지 이용 비용 부담을 완화하는 것이다."
TEST_034,예비타당성조사는 KDI(한국개발연구원 공공투자관리센터)가 수행했습니다.
TEST_035,21년 국정감사에서 에너지 바우처 사업에 대한 주요 지적사항은 '저소득층의 폭염 피해 최소화를 위해 동절기 에너지바우처 일부를 하절기에 사용할 수 있도록 제도 개선할 것' 이었습니다.
TEST_036,"21년 에너지바우처 사업에 대한 결산 지적사항은 ""저소득층의 폭염 피해 최소화를 위해 동절기 에너지바우처 일부를 하절기에 사용할 수 있도록 제도 개선할 것"" 이었습니다."
TEST_037,취약계층의 에너지 비용 부담 완화'를 위한 계획은 '하절기·동절기 에너지바우처 지원대상을 주거·교육급여 수급세대 중 더위·추위민감계층까지 영구적 확대한다'는 내용입니다.
TEST_038,행복주택출자 사업은 주택도시기금법 제9조제1항가목 및 공공주택특별법 제2조1호가목에 근거로 추진되고 있다.
TEST_039,국민의 행복주거 실현을 위한 보편적 주거복지 정책의 일환으로 도심 내 다양한 부지를 활용하여 행복주택을 공급하는 것이다.
TEST_040,"happyhousing 출자 사업의 주요 수혜자는 대학생・사회초년생・신혼부부 등 젊은층(80%)이며, 고령자 및 주거취약계층(20%)도 일부 수혜자로 지정되어 있습니다."
TEST_041,"happyhousing 출자(1440-408) 사업의 전체 사업비는 775,293백만원이며, 자치단체자본보조(330-03)는 210,951백만원, 일반출자금(460-01)은 564,342백만원입니다."
TEST_042,한국토지주택공사(LH)와 지자체(지방공사)가 사업시행주체입니다.
TEST_043,국고보조사업의 보조율은 「보조금법」과 함께 일부 개별 법령에 근거하여 운영되며 보조금법에 의해 지방자치단체의 재정여건을 고려하여 기준보조율과 차등보조율을 적용하여 운용하고 있음
TEST_044,"프랑스의 재정조정제도에서 최근 강조되는 형평교부금은 중앙정부의 재정적자로 인한 수직적 형평교부금의 역할을 강조하기 시작하였으며, 규모의 측면에서는 수직적 재정조정 위주로 이루어집니다."
TEST_045,"지방재정조정제도의 목적은 지방자치단체 간 재정력 격차의 시정을 통하여 지역 간 외부 효과의 내부화를 이루어내며, 중앙정부의 위임사무에 대한 비용 부담을 완화하는 것이다."
TEST_046,성과중심 재정관리 강화 움직임이 확산된 시기는 2000년대 후반 금융위기 이후로 국제적으로 확산되었다.
TEST_047,"우리나라의 재정사업 성과관리제도는 '07년 「국가재정법」 시행 이후 최소한의 법 조항[2)]으로 운영되어 오다, '21년 12월 법 개정을 통한 별도의 장(章) 신설로 개념 및 체계 명확화되었다."
TEST_048,"핵심재정사업 성과관리제도를 안착시키기 위해는 지속적인 노력과 성과 정보를 학습의 도구로 활용하는 방안이 필요하다. 또한, 다양한 커뮤니케이션 전략을 통해 범부처 차원의 우선순위 목표에 대한 국민적 관심과 열린 대화를 형성해야 한다."
TEST_049,"사회보험 사각지대 발생의 주요 원인은 제도적 틀이 갖추어져 있음에도 불구하고 사각지대가 발생하는 데, 이로 인해 발생하는 문제는 미가입자의 사회보험 신규가입이 어려워 자발적인 가입이 이루어지지 않거나, 이미 가입한 사람에게만 지원되는 사업으로 인해 지원의 확대가 필요한 경우에 대응하기 위해 두루누리사회보험지원사업 등의 예정이 투입됩니다."
TEST_050,"청년일자리도약장려금은 만 15~34세의 취업애로청년을 정규직으로 채용 후 6개월 고용유지하는 경우 최장 2년간 지원되며, 우선지원대상기업에서만 지원된다."
TEST_051,"수직적 재정조정제도는 중앙정부와 지방정부 간에 재정을 재배분하는 것을 의미하며, 수평적 재정조정제도는 동일 수준의 지방정부 간 재정력 격차를 해소하기 위해 재원을 이전하는 것이다."
TEST_052,"지방재정조정제도의 목적은 지방자치단체 간 재정력 격차의 시정을 통해 지역 간 외부 효과의 내부화를 이루어내며, 중앙정부의 위임사무에 대한 비용 부담을 완화하는 것이다."
TEST_053,"중앙-지방 간 재정조정제도에서는 보통교부세, 특별교부세, 지방교부세, 부동산교부세, 소방안전교부세 등의 재원을 이전하여 수직적 재정 불균형을 해소한다."
TEST_054,"중앙정부의 예산편성은 국가 재정운용의 기본 계획과 투자 우선 순위를 결정하는 재원 배분 문제를 해결한다. 중앙-지방 간 재정조정제도는 지방교부세, 국고보조금 등 다양한 재원을 이전하며, 이는 지방자치단체의 자율적 재정운용을 지원하고 국가 균형발전을 촉진하는 목적으로 이루어진다."
TEST_055,"재정사업 성과관리제도의 필요성이 대두된 시기는 '07년 「국가재정법」 시행 이후이며, 한국의 재정사업 성과관리제도는 '07년 「국가재정법」에 근거하여 운영되고 있다."
TEST_056,"청년일자리도약장려금은 만 15~34세의 취업애로청년을 정규직으로 채용 후 6개월 고용유지하는 경우 최장 2년간 지원되며, 우선지원대상기업에서만 지원된다."
TEST_057,재정성과관리제도는 전략목표와 우선순위를 중심으로 재정사업을 재구조화한다는 점에서 국정운영과 연결된다.
TEST_058,"성과관리의 실효성 강화를 위해 정부는 성과목표관리 및 성과평가를 수행하고, 재정사업 성과관리 기본계획을 수립하여 성과보고서 작성 및 성과평가 근거를 마련한다."
TEST_059,"「국가재정법」상의 재정사업 평가인 재정사업 자율평가의 대상, 범위, 효과, 개편 등은 지속적으로 논의되어야 하며, 개별 법령에 따라 실시되는 평가 대상 간 중복 최소화 노력 필요"
TEST_060,"재정성과관리가 중요하のは, 정부 재정의 투명성·책임성, 효율성·효과성을 제고하기 위함이다."
TEST_061,"재정성과관리는 지출 효율성을 증진하기 위해 재정지출이 달성해야 할 목표를 정확히 설정하고, 이의 달성을 지속적으로 관리하는 활동입니다."
TEST_062,"OECD, World Bank 등이 사업을 기준으로 예산을 나누어 성과 정보를 생산하고 있다."
TEST_063,"성과관리의 목적은 정부 재정의 투명성·책임성, 효율성·효과성, 예산재분배 등이 있음"
TEST_064,"2021년 「국가재정법」 개정으로, 동 법에 의한 재정사업 평가와 개별 법령에 따라 실시되는 평가 대상 중복이 최소화되도록 하는 규정을 신설하였습니다."
TEST_065,지출 구조조정은 성과관리제도 하에서 성과 목표를 달성하기 위한 일상 운영의 방식으로 추진되고 있다.
TEST_066,"재정사업 자율평가는 재정관리 합리성을 제고하기 위한 목적으로, 그동안 평가 대상 사업의 범위, 평가 주기, 상위 평가 방식 등에서 지속적인 제도 개선이 이루어졌습니다."
TEST_067,"2016년 재정성과관리제도의 환류 개선사항은 부처에서 자율적으로 세출구조조정을 마련하도록 하며, 우수 등급 사업도 지출구조조정이 가능하게 하는 한편, 구조조정이 어려운 사업에 대해서는 성과관리 개선대책을 제출하게 함으로써 환류를 수행한다."
TEST_068,2018년도에 재정성과관리제도 개선사항으로는 '18~'20년까지 핵심사업 187개 사업의 성과관리를 수행하여 제도 개선 및 구조조정을 통한 효율적 재정운용이 가능하게 되었다.
TEST_069,2022년도 전면 개편 이후 중점 추진과제로 '환류 방식 개선'이 제시되었습니다.
TEST_070,"재정성과관리제도의 중요성은 정부 재정의 투명성·책임성, 효율성·효과성, 예산재분배 등이 가능하게 하는 데 있다. 또한, 전략목표와 우선순위를 중심으로 재정사업을 재구조화하므로 국정운영과 연결된다."
TEST_071,"정부는 성과계획서·보고서 외에 재정사업 자율평가를 수행하고, 지표가 적정한지 점검하며, 개별 재정사업에 대한 평가를 수행하는 등 성과관리의 목적으로 정부 재정의 투명성·책임성, 효율성·효과성을 제시하고 있다. 재정성과관리는 지출 효율성을 증진하기 위해 재정지출이 달성해야 할 목표를 정확히 설정하고, 이의 달성을 지속적으로 관리하는 활동이다."
TEST_072,"재정성과관리는 예산 편성 과정에서 성과계획서를 작성하면서 시작되며, 지출 효율성을 증진하기 위해 재정지출이 달성해야 할 목표를 설정하고, 이의 달성을 지속적으로 관리하는 활동입니다."
TEST_073,"재정성과관리의 목적은 정부 재정의 투명성·책임성, 효율성·효과성, 예산재분배 등이 있으며, 우리나라의 재정성과관리제도는 2006년 4대 재정개혁을 통해 프로그램 예산제도로 전환되었다."
TEST_074,"2007년 「국가재정법」 개정으로 성과관리의 기본 단위, 성과 측정 및 보고를 위한 체계가 확립되었으며, 2021년 「국가재정법」 개정은 성과 지향적이고 투명한 재정운용을 위해 성과목표관리 및 성과평가를 강화하고, 재정사업의 우선순위를 설정하여 중장기 시계로 확장하는 것을 목적으로 한다."
TEST_075,"재정사업 자율평가는 재정관리 합리성 제고를 위해 그동안 평가 대상 사업의 범위, 평가 주기, 상위 평가 방식 등에서 지속적인 제도 개선이 이루어짐"
TEST_076,"2015년 이전에는 평가 결과 미흡 등급 비율을 강제 배정하고, 해당 단위사업에 대한 일률적 삭감을 실시하였으나, 2016년에 환류 개선을 통해 부처에서 자율적으로 세출구조조정을 마련하도록 하였다."
TEST_077,"재정관리시스템 구축과 성과관리 개편을 추진하는 주된 목적은 재정운용의 효율성, 책임성을 제고하기 위한 것이다."
TEST_078,우리나라는 2011년부터 발생주의 기준을 적용한 국가결산보고서에서 우발부채를 보고하고 있다.
TEST_079,"우발부채 관련 주요 쟁점은 우발부채 개념 및 용어 사용의 혼란, 우발부채 분류기준 재검토, 새로운 분류기준 정립이다."
TEST_080,"우발부채의 관리는 지속가능한 재정운영 차원에서 중요한 이슈로 여겨지며, 미래의 다양한 의제의무를 포괄하는 부채를 관리하는 것이 중요하기 때문이다."
TEST_081,"우발부채는 미래에 특정 사건(들)이 일어나지 않는 한 발생하지 않는 의무이며, 하나 또는 그 이상의 조건이 충족되어야 금융거래로 인식된다. 부채는 재정거래로 인식된 후 지급 의무가 발생하는 것으로, 우발부채와는 달리 미리 지급 의무가 발생한다."
TEST_082,"발생주의는 '경제적 거래가 발생하는 시점'에 거래를 기록하며, 현금주의는 '현금을 수취하거나 지급한 시점'에 거래를 기록한다."
TEST_083,"채무지속가능성분석(Debt Sustainability Analysis, DSA)는 잠재적 재정위기 감지, 예방, 해결을 위한 IMF의 노력으로 2002년에 도입되었다."
TEST_084,"의제의무(擬制義務, constructive obligation)는 발표된 정부방침 또는 구체적이고 유효한 약속이나 과거의 실무관행 등을 통해 중앙관서 또는 기금이 특정 책임을 부담하는 것으로 간주되는 지출을 말합니다."
TEST_085,국제통화기금이 재정통계 작성의 국제기준을 제시하기 위해 발간한 매뉴얼은 'Government Finance Statistics Manual'이다.
TEST_086,"계류중인 소송사건은 정부가 원고인 경우와 피고인 경우 각각을 주석으로 공시하며, 다만 자원의 유출가능성이 매우 높은 경우(정부가 피고로 2심 패소 등)에는 소송충당부채로 공시합니다."
TEST_087,"최소운영수입보장(BTO 등) 제도는 주로 BTO 민간투자사업 중 추정 수입보다 실제 수입이 미치지 못하는 경우 정부가 최소운영수입을 보장해 주는 제도를 말함[16)]. 2020회계연도 말 기준, 국토교통부, 해양수산부의 민간투자사업 중 협약 상 최소운영수입을 보장하는 사업은 16건 존재하며, 협약 내용은 <표9>와 같다."
TEST_088,"우발부채에는 일회성 보증, 기타 명시적 우발부채(잠재적인 법적 청구권, 배상금, 미불입 주식자본 등), 암묵적 우발부채(미래사회보장급여에 대한 순의무, 기타 암묵적 우발부채)가 포함됩니다."
TEST_089,GFSM2014에서는 우발부채를 명시적(explicit) 우발부채와 암묵적(implicit) 우발부채로 구분한다.
TEST_090,"GFSM은 1986년 첫 발간 이래 현재까지 총 2차례(2001년, 2014년)의 개정이 있다. 특히, GFSM 2001은 전면 개정을 통해 현재의 발생주의 기준 GFS체계를 구축하였다."
TEST_091,다음과 같이 작성되어 있습니다.
TEST_092,"공공부문의 우발부채는 국제기준 GFSM2014에서 '명시적(explicit)' 및 '암묵적(implicit)' 성격으로 구분되며, 표준화 보증은 '부채'로 인식됩니다."
TEST_093,"공적보증채무는 보증인이 기타 공공부문과 민간부문 단위 기존 채무의 원리금 상환을 보증한다는 점에서 다른 일회성 보증과는 구분되며, 재정정책 및 분석에서 중요합니다."
TEST_094,"미래사회보장급여에 대한 순의무는 계약상의 부채가 아니며, 미래 발생 비용으로 여겨지는 사회보장급여를 의미합니다. 이는 현행법과 규정에 따라 이미 가입자가 획득한 미래 급여의 현재가치에서 현행법과 규정에 따른 사회보장제도의 미래보험료의 순현재가치를 차감하여 인식됩니다."
TEST_095,"국가결산보고서에서는 국가회계기준에 따라 우발부채를 의무 이행을 위해 자원이 유출될 가능성이 희박하지 않은 한 주석[11)]에 공시하고 있으며, 재정상태표에는 인식하지 않음[12)]. 반면, 지방자치단체 회계기준에서는 「지방자치단체 회계기준에 관한 규칙」(지방)으로 우발부채를 정의하고, 이를 근거로 인식한 우발부채 현황을 결산보고서에 공시합니다."
TEST_096,"우발부채는 미래의 다양한 의무를 포괄하는 부채로, 지속 가능한 재정운영 차원에서 중요한 이슈입니다. 우발부채 관리는 재정건전성, 재정 위기 관리 등 다양한 관점에서 중요하게 다뤄져야 할 필요가 있습니다."
TEST_097,"보증은 당사자가 입을 수 있는 손실 또는 손상의 위험을 수용하는 약속으로, 다른 당사자가 입을 수 있는 손실 또는 손상의 위험에 대하여 대응하는 활동입니다. 재정상태표에는 파생금융상품 형태의 보증, 표준화된 보증, 기타 일회성 보증 등이 부채로 기록됩니다. 표준화 보증은 유사한 특징을 지니고 위험 분산을 목적으로 하는 보증으로, 수출(무역)신용 보증, 다양한 종류의 보험 등이 있습니다."
